x_c,y_c,z_c,theta_neck_pan_cmd_tminus1,theta_lower_tilt_cmd_tminus1,theta_upper_tilt_cmd_tminus1,theta_right_pan_cmd_tminus1,theta_tilt_cmd_tminus1
-0.009140612026223627,-0.20279046988005514,1.0060555743614188,0.0,0.0,0.0,0,0
0.05412703595129975,-0.20369117163744258,1.0061322775038783,0.0,0.0,0.0,2,0
0.11055110806307034,-0.20499026082713015,1.0062073286621458,0.0,0.0,0.0,4,0
0.16639995654279582,-0.20684151202553386,1.0062891922416466,0.0,0.0,0.0,6,0
0.22482287215181218,-0.20810091611912526,1.0063657534895794,0.0,0.0,0.0,8,0
0.282505567491278,-0.20919868760238178,1.006439392362166,0.0,0.0,0.0,10,0
0.3363406367292874,-0.21016276486244595,1.0065073088730316,0.0,0.0,0.0,12,0
0.4033915077248351,-0.21198284004407325,1.0066001982209765,0.0,0.0,0.0,14,0
-0.43978843810823764,-0.1907564179098064,1.0054543600545287,0.0,0.0,0.0,-14,0
-0.35446062058865824,-0.19344303584499864,1.0055775338464563,0.0,0.0,0.0,-12,0
-0.2864455195301757,-0.1953540910687669,1.0056726275277952,0.0,0.0,0.0,-10,0
-0.22650398765160507,-0.19763614140957372,1.0057644455969807,0.0,0.0,0.0,-8,0
