x_c,y_c,z_c,cmd_theta_lower_neck_pan,cmd_theta_lower_neck_tilt,cmd_theta_upper_neck_tilt,cmd_theta_left_eye,cmd_theta_tilt,state_theta_lower_neck_pan,state_theta_left_lower_neck_tilt,state_theta_right_lower_neck_tilt,state_theta_left_upper_neck_tilt,state_theta_right_upper_neck_tilt,state_theta_left_eye,state_theta_tilt
-0.3549250844238988,-0.021937983076721686,1.0401472629545991,-30,0,0,4,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,3.69140625,-24.08203125
-0.2936338789724753,-0.02383542050256548,1.0383442912951004,-30,0,0,6,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,5.625,-24.08203125
-0.2341040193074636,-0.0252767544880126,1.036621095674362,-30,0,0,8,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,7.55859375,-24.08203125
-0.17650464933714138,-0.026871569839108017,1.0349270771422234,-30,0,0,10,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,9.4921875,-24.08203125
-0.12681346358945633,-0.028385185679138177,1.0334612201737283,-30,0,0,12,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,11.25,-24.08203125
-0.06583562977708846,-0.029703773092403095,1.0317149031749937,-30,0,0,14,-25,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,13.271484375,-24.08203125
-100.0,-100.0,-100.0,-30,0,0,-14,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-13.88671875,-28.65234375
-100.0,-100.0,-100.0,-30,0,0,-12,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-11.865234375,-28.740234375
-100.0,-100.0,-100.0,-30,0,0,-10,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-9.931640625,-28.740234375
-0.7799149463668543,0.02950481255604763,1.0526250385342828,-30,0,0,-8,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-8.0859375,-28.916015625
-0.7015154601269254,0.025812345396162197,1.0504008884435547,-30,0,0,-6,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-6.15234375,-28.828125
-0.6192267278975758,0.022695800133900358,1.0479562915447982,-30,0,0,-4,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-4.04296875,-28.828125
-0.5458347489845816,0.020816000702232995,1.0457268737436627,-30,0,0,-2,-30,-29.1796875,0.703125,-0.703125,-0.087890625,0.0,-2.021484375,-28.828125
